host,scriptName,remoteScriptPath,Node_type,timeout,output
sc2,AXM_FT_EAC_GUI_BOUND_EAC_EGI_CONFIG_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_GUI_BOUND_EAC_SB_ADM_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_GUI_BOUND_EAC_ESI_CONFIG_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_AplocDisc_EHIP_BSC_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_Connection_EH_Parmater_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_Connection_Node_with_sessioonID_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_EAW_CommandResponseAuth_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_ESI_Config_GetNeParameter_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_ESI_Config_Help_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESI_ListAvailableNE_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESI_ListNEType_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_ListSessionStatus_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_ProcessList_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_SessionTermination_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_esm_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_sb_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_tf_id_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_nrma_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_Start_Stop_Order_Sequence_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_AutoSuspend_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ConnectIdleTimeout_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_Aploc_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_NoApio_EHIP_BSC_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EventLogging_EHIP_T_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_IDL_InitiatorKill_ONE_NODE_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_IDL_ONE_NODE_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ImResp_Buffer_EHIP_T.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ImResp_RespType_EHIP_ST_REAL_NODE_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_EAM_ListFiles_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_NE_password_change_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAM_NotAcceptedResponse_EHIP_T.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_Process_Manager_MC_FileExistence_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_SpontReportReception_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
